@@,itemlabel,item,startdate,enddate
+++,Philip Philips,Q7184210,1871,1874
+++,Henry Isaacs,Q66738069,1874,1874
+++,Frederick Prime,,1874,1875
+++,Benjamin Tonks,Q16063032,1875,1876
+++,William Hurst,Q8013631,1876,1877
+++,Henry Brett,Q5718572,1877,1878
+++,Thomas Peacock,Q7793070,1878,1880
+++,James Clark,Q12055074,1880,1883
+++,William Waddel,,1883,1886
+++,Albert Devore,,1886,1889
+++,John Upton,,1889,1891
+++,William Crowther,Q8007332,1891,1893
+++,James Job Holland,Q6136858,1893,1896
+++,Abraham Boardman,Q27468333,1896,1897
+++,Peter Dignan,Q7173673,1897,1898
+++,David Goldie,Q5234191,1898,1901
+++,Alfred Kidd,Q4723009,1901,1903
+++,John Logan Campbell,Q1700877,1901,1901
+++,Edwin Mitchelson,Q5346666,1903,1905
+++,Arthur Myers,Q4799801,1905,1909
+++,Charles Grey,Q60729679,1909,1910
+++,Lemuel Bagnall,Q57239225,1910,1911
+++,James Parr,Q6140966,1911,1915
+++,James Gunson,Q16002994,1915,1925
+++,George Baildon,Q5536604,1925,1931
+++,George Hutchison,Q5540898,1931,1935
+++,Ernest Davis,Q5393304,1935,1941
+++,John Allum,Q6218829,1941,1953
+++,John Luxford,Q6245564,1953,1956
+++,Thomas Ashby,Q7787164,1956,1957
+++,Keith Buttle,Q6384156,1957,1959
+++,Dove-Myer Robinson,Q1252850,1959,1965
+++,Roy McElroy,Q7373147,1965,1968
+++,Dove-Myer Robinson,Q1252850,1968,1980
+++,Colin Kay,Q5145255,1980,1983
+++,Catherine Tizard,Q644212,1983,1990
+++,Les Mills,Q2031510,1990,1998
+++,Christine Fletcher,Q5111023,1998,2001
+++,John Banks,Q6220548,2001,2004
+++,Dick Hubbard,Q5273032,2004,2007
->,John Banks,Q6220548,2007,2010-10-31->2010
