position,title
Q6508547,Leader of the Opposition
Q3409577,Mayor of Auckland
Q6797658,Mayor of Auckland City
Q6797690,Mayor of Christchurch
Q21127553,Mayor of Dunedin
Q11806033,Mayor of Hamilton
Q52988199,Mayor of Wellington
Q65092030,Chief Archivist
Q5165946,Controller and Auditor-General
Q65548798,Commissioner of Inland Revenue
Q30504646,ambassador to East Timor
Q30055445,ambassador to France
Q30504638,ambassador to Germany
Q108523629,ambassador to Japan
Q30301456,ambassador to Nepal
Q28064872,ambassador to the United States
Q60281446,Chief Science Advisor
Q98140283,Director-General of Security
