wanted,position,positionid,from,start,end
Q18098673,Leader of the Opposition,Q6508547,Q6303349,2020-07-14,
Q3456546,Member of the New Zealand Parliament,Q18145518,Q3606816,2017-03-08,2017-08-18
Q15196319,Leader of the Opposition,Q6508547,Q4769089,2014-11-24,
Q6416051,Minister of Social Development,Q25998902,Q540420,2014-10-13,2017-10-26
Q4662039,Member of the New Zealand Parliament,Q18145518,Q15147913,2013-05-28,
Q6121618,Member of the New Zealand Parliament,Q18145518,Q4937607,2011-11-30,2014-09-19
Q7172024,Member of the New Zealand Parliament,Q18145518,Q3561074,2011-11-26,
Q7283574,Member of the New Zealand Parliament,Q18145518,Q3527980,2011-11-26,
Q7372800,ambassador to the United States,Q28064872,Q558647,2010,2015
Q7634025,Member of the New Zealand Parliament,Q18145518,Q13548108,2009-10-30,2017-08-18
Q15196319,Minister for Land Information,Q104856417,Q7330098,2008-11-19,2009-06-02
Q2622925,Member of the New Zealand Parliament,Q18145518,Q4352603,2008-11-19,2011-10-20
Q57783,Leader of the Opposition,Q6508547,Q597909,2008-11-11,2011-12-13
Q5273032,Mayor of Auckland City,Q6797658,Q6220548,2007,2010-10-31
Q6833782,Mayor of Hamilton,Q11806033,Q2907819,2007,2010
Q7330085,Director-General of Security,Q98140283,Q7970558,2006-11-01,2014
Q6989460,Administrator of Tokelau,Q2824538,Q3703293,2006-10-17,2009
Q5271713,Member of the New Zealand Parliament,Q18145518,Q5231315,2005-09-17,
Q1238979,Governor of the Reserve Bank,Q109550755,Q4706207,2002-09-23,2012-09-25
