item,itemLabel,position,positionLabel,start,psid
Q15196319,David Parker,Q107638838,Minister of Revenue,2020-11-06,Q15196319-AE80D7DD-E564-4480-8287-07E3040E8703
Q15196319,David Parker,Q4818600,Attorney-General of New Zealand,2017-10-26,Q15196319-7E1BD9EC-7199-4FB0-BB85-E9AA82851F45
Q15196319,David Parker,Q85785672,Minister of Fisheries,2020-11-06,Q15196319-BFB2842B-7225-4275-A2DA-A40A2161A978
Q15196319,David Parker,Q97446369,Minister for the Environment,2017-10-26,Q15196319-87DCCED8-1848-4D30-835D-907C058A064E
Q1543207,Grant Robertson,Q5261068,Deputy Prime Minister of New Zealand,2020-11-06,Q1543207-bcaada9c-4f5d-0c30-183a-106346e5afac
Q1543207,Grant Robertson,Q6866129,Minister of Finance,2017-10-26,Q1543207-BBCA5B26-C951-4F84-A9F0-414545BD6799
Q1543207,Grant Robertson,Q6866214,Minister of Infrastructure,2020-11-06,Q1543207-EE38428A-53B0-478F-8AFF-B3910C91715C
Q1543207,Grant Robertson,Q85785660,Minister for Sport and Recreation,2017-10-26,Q1543207-922A293A-6852-41A5-AAC3-A3A2CAC12C14
Q17016818,Poto Williams,Q107693935,Minister for Disability Issues,2022-06-14,Q17016818-9C99B539-80F8-4D4E-A4DC-2C9018FC93E4
Q17016818,Poto Williams,Q6866068,Minister of Conservation,2022-06-14,Q17016818-943BCFFE-8DD1-43DC-9576-6ACB0DBE3DB1
Q18098260,Peeni Henare,Q10330337,Minister of Defence,2020-11-06,Q18098260-38C4DA3B-CC59-4219-99F7-5B52B6AF1525
Q18098260,Peeni Henare,Q107612786,Minister for Whānau Ora,2017-10-26,Q18098260-15A89EE0-79A2-4E9B-BF7F-6A20C3B1959A
Q27950864,Michael Wood,Q107612808,Minister of Transport,2020-11-06,Q27950864-7BBF7271-A65A-4211-8C49-50A9C9756DB0
Q27950864,Michael Wood,Q25241937,Minister of Immigration,2022-06-14,Q27950864-25594D9E-FB55-4E8A-AE50-EB04B7377558
Q27950864,Michael Wood,Q97628055,Minister for Workplace Relations and Safety,2020-11-06,Q27950864-9D88232A-CEB8-4924-8A37-C4EEA481CD91
Q3561074,David Clark,Q107693929,Minister for the Digital Economy and Communications,2020-11-06,Q3561074-93CA7E04-93C4-4844-834E-E7A0797A485F
Q3561074,David Clark,Q24189763,Minister of State Owned Enterprises,2020-11-06,Q3561074-F36EA8C8-76C7-4D03-BFF8-CAE2679CEAE7
Q3561074,David Clark,Q85785663,Minister of Commerce and Consumer Affairs,2020-11-06,Q3561074-DFF3D745-75A9-4184-A596-C2C86442240B
Q3561074,David Clark,Q85785687,Minister of Statistics,2020-11-06,Q3561074-76FF5852-1A59-4EEF-A7A5-B7355C85C69E
Q3561087,Andrew Little,Q107693906,Minister Responsible for the NZSIS,2017-10-26,Q3561087-15E3BB43-CC54-4972-AF79-A85C9367040B
Q3561087,Andrew Little,Q107693909,Minister Responsible for the GCSB,2017-10-26,Q3561087-11B52258-E0D6-4D37-94E4-AE00A018402C
Q3561087,Andrew Little,Q48796081,Minister for Treaty of Waitangi Negotiations,2017-10-26,Q3561087-F7193DB3-902D-4759-9986-9FFE2866F523
Q3561087,Andrew Little,Q6866167,Minister of Health,2020-11-06,Q3561087-AEDE6ECF-AEE8-4962-8F15-B14CAE479B2E
Q3606816,Jacinda Ardern,Q1071117,Prime Minister of New Zealand,2017-10-26,Q3606816-edd56a9b-4e39-b3f0-4d3d-c59f56429ba3
Q3606816,Jacinda Ardern,Q18204447,Minister of National Security and Intelligence,2017-10-26,Q3606816-E4E7C97C-B1BC-4EBC-B9CF-0CC48B99BFCD
Q3798833,Nanaia Mahuta,Q6866148,Minister of Foreign Affairs,2020-11-06,Q3798833-65F1E02C-3273-4A83-88A0-DDB7BDA86817
Q3798833,Nanaia Mahuta,Q85785675,Minister of Local Government of New Zealand,2020-11-06,Q3798833-2EDE09C2-7DDD-483D-9111-90F3D26F2EF7
Q41498722,Priyanca Radhakrishnan,Q112578559,Minister for Youth,2022-06-14,Q41498722-8F83C952-9DF1-4D81-AB1A-BABB44169130
Q41498722,Priyanca Radhakrishnan,Q112578564,"Minister for Diversity, Inclusion and Ethnic Communities",2022-06-14,Q41498722-367CA7AD-A567-4547-9140-39E87123F779
Q41498722,Priyanca Radhakrishnan,Q112578566,Minister for the Community and Voluntary Sector,2022-06-14,Q41498722-38086D19-080D-4BFF-9EC2-1C0B19E1A40C
Q41498735,Jan Tinetti,Q107612861,Minister for Women,2020-11-06,Q41498735-6C777570-961B-4813-BFAC-5D0FF858B337
Q41498735,Jan Tinetti,Q65088927,Minister of Internal Affairs,2020-11-06,Q41498735-6654B316-26E5-4672-9D46-8888B3B06C22
Q41498745,Kiri Allan,Q6866227,Minister of Justice,2022-06-14,Q41498745-0BD6D5BA-FB36-4C03-91FC-3EEAE17A2FE0
Q5043325,Carmel Sepuloni,Q107613035,Minister for ACC,2020-07-22,Q5043325-D546C96A-0F89-44CB-A4E5-0E3D351067A5
Q5043325,Carmel Sepuloni,Q29025010,"Minister for Arts, Culture and Heritage",2020-11-06,Q5043325-7CC148D1-4DF0-4095-AA80-A99F64EB2F2B
Q5043325,Carmel Sepuloni,Q55623217,Minister for Social Development,2017-10-26,Q5043325-A8E734B4-161B-4205-B755-7F0D182E4089
Q5106890,Chris Hipkins,Q107693853,Minister for the Public Service,2017-10-26,Q5106890-1D6565E7-CE20-4788-8B0B-46858719256B
Q5106890,Chris Hipkins,Q6866108,Minister of Education,2017-10-26,Q5106890-753D6B28-4D89-4319-A3C7-19F6FDDDE66D
Q5106890,Chris Hipkins,Q85785682,Minister of Police,2022-06-14,Q5106890-011B9FEE-132A-4886-AC31-F752E5185268
Q5212493,Damien O'Connor,Q104856417,Minister for Land Information,2020-11-06,Q5212493-A9A4B084-6C68-4C61-83AA-3E21160DFA5F
Q5212493,Damien O'Connor,Q107693889,Minister for Biosecurity,2017-10-26,Q5212493-1CB79CCA-D83A-4B85-BCE0-0B5595F8B6C8
Q5212493,Damien O'Connor,Q107693894,Minister for Trade and Export Growth,2020-11-06,Q5212493-6EF0D893-4F69-46F1-A167-612DA3B1AA1B
Q5212493,Damien O'Connor,Q107693897,Minister for Rural Communities,2017-10-26,Q5212493-5F6E8655-6F76-4894-942E-97E2FDD7F516
Q5212493,Damien O'Connor,Q6866033,Minister of Agriculture,2017-10-26,Q5212493-68511381-A6C4-4E5B-8805-7A0A661CECB8
Q6386648,Kelvin Davis,Q105485411,Minister for Children,2020-11-06,Q6386648-7fc81ba0-4b1b-7e48-76a8-d5143e34b48e
Q6386648,Kelvin Davis,Q107612854,Minister for Māori Crown Relations: Te Arawhiti,2017-10-26,Q6386648-17D29B59-8E22-4591-A2EC-DA52DE43DEC3
Q6386648,Kelvin Davis,Q6866081,Minister of Corrections,2017-10-26,Q6386648-F53B0EC2-F915-429F-AACC-C696E42DE523
Q6808764,Megan Woods,Q40889194,Minister for Housing,2019-06-27,Q6808764-28FD136F-69FF-4F72-99B7-A6688BC5994B
Q6808764,Megan Woods,Q48783517,Minister for Building and Construction,2022-06-14,Q6808764-E875DE5B-EA91-40FA-8126-9E748AC426AD
Q6808764,Megan Woods,Q85785670,Minister of Energy and Resources,2017-10-26,Q6808764-35720BB9-6197-41E1-A6D6-76AEC4D88020
Q7626890,Stuart Nash,Q107612748,Minister for Small Business,2020-11-06,Q7626890-ED247E79-639E-4130-B6EC-AE7CCF8C22CF
Q7626890,Stuart Nash,Q107612764,Minister for Economic and Regional Development,2020-11-06,Q7626890-CC8C78AB-24E8-45BC-92FF-83130CED755A
Q7626890,Stuart Nash,Q48769875,Minister of Tourism,2020-11-06,Q7626890-6C71A361-2A0C-4085-B0B5-34E9BEC26A07
Q7626890,Stuart Nash,Q85785673,Minister of Forestry,2020-11-06,Q7626890-BFE017F6-E74D-402A-8DE2-20F8D31F49DB
Q8021596,Willie Jackson,Q55623233,"Minister of Broadcasting, Communications and Digital Media",2022-06-14,Q8021596-81CF1E53-2547-4EB1-984A-2B5EEF6DF38D
Q8021596,Willie Jackson,Q991876,Minister for Māori Development,2020-11-06,Q8021596-2674030B-06F0-4733-846D-DE2D7F77A146
Q91250224,Ayesha Verrall,Q107693863,Minister for COVID-19 Response,2022-06-14,Q91250224-005AF507-2A73-4251-99B8-F1875E5B0FB0
Q91250224,Ayesha Verrall,Q85785658,"Minister for Research, Science and Innovation",2022-06-14,Q91250224-9CB7A418-D101-42D1-B390-36423E8BF0DA
Q91250224,Ayesha Verrall,Q98078077,Minister for Seniors,2020-11-06,Q91250224-0D13DE0F-5041-4120-AFC5-27858ADCD745
