item,itemLabel,startDate,endDate,sourceDate,psid
Q6273447,Jonathan Hunt,1999-12-05,2005-03-03,,Q6273447-5DEE7C80-AD6C-45D9-A681-C8AC632EB287
Q2920241,Margaret Wilson,2005-03-03,2008-12-08,2022-06-13,Q2920241-D5BE4195-20B8-4151-9CDE-D4025A8A6A51
Q5978615,Lockwood Smith,2008-12-08,2013-01-31,2022-06-13,Q5978615-4DCAA6FF-18C5-4A67-995C-6D1B1E6CF1A1
Q6128819,David Carter,2013-01-31,2017-11-07,2022-06-13,Q6128819-CBEB3956-371B-4125-9EFD-F70E1C022F38
Q7839303,Trevor Mallard,2017-11-07,,,Q7839303-E0A3A8D4-04BB-473A-9B4A-F03D7217345D
