item,itemLabel,startDate,endDate
Q7176383,Sir Peter Phipps,1963-07-01,1965-07
Q6525793,Sir Leonard Thornton,1965-07,1971-10
Q65046026,Sir Richard Webb,1971,1976
Q7324245,Sir Richard Bolt,1976,1980
Q643552,Sir Neil Anderson,1980,1983
Q15967718,Sir Ewan Jamieson,1983,1986
Q18921587,David Crooks,1986,1987
Q65030355,Sir John Mace,1987,1991
Q65613530,Sir Somerford Teagle,1991,1995
Q65615977,Anthony Birks,1995,1999
Q24266539,Carey Adamson,1999,2001
Q4977464,Bruce Ferguson,2001,2006-04-30
Q515624,Jerry Mateparae,2006-05-01,2011-01-23
Q7321800,Rhys Jones,2011-01-24,2014-01-31
Q16730677,Tim Keating,2014-02-01,2018-06-30
Q25183148,Kevin Short,2018-07-01,
