@@,itemlabel,item,startdate,enddate
+++,Sir Peter Phipps,Q7176383,1963-07-01,1965-07
+++,Sir Leonard Thornton,Q6525793,1965-07,1971
+++,Sir Richard Webb,Q65046026,1971,1976
+++,Sir Richard Bolt,Q7324245,1976,1980
+++,Sir Neil Anderson,Q643552,1980,1983
+++,Sir Ewan Jamieson,Q15967718,1983,1986
+++,David Crooks,Q18921587,1986,1987
+++,Sir John Mace,Q65030355,1987,1991
+++,Sir Somerford Teagle,Q65613530,1991,1995
+++,Anthony Birks,Q65615977,1995,1999
+++,Carey Adamson,Q24266539,1999,2001
+++,Bruce Ferguson,Q4977464,2001,2006-04-30
+++,Jerry Mateparae,Q515624,2006-05-01,2011-01-23
+++,Rhys Jones,Q7321800,2011-01-24,2014-01-31
+++,Tim Keating,Q16730677,2014-02-01,2018-06-30
