item,itemLabel,startDate,endDate,sourceDate,psid
Q24266539,Carey Adamson,1999,2001,,Q24266539-DDF3452C-A776-4240-AF15-8380001C03AB
Q4977464,Bruce Ferguson,2001,2006-04-30,,Q4977464-F1BB4C05-C733-4ACA-A312-B5E0665A3D80
Q515624,Jerry Mateparae,2006-05-01,2011-01-23,,Q515624-39DAA514-D285-4B1B-AEB0-C29ADE17B62C
Q7321800,Rhys Jones,2011-01-24,2014-01-31,,Q7321800-0B2699C3-0CFC-4FC7-A70B-205DAFA8A252
Q16730677,Tim Keating,2014-02-01,2018-06-30,,Q16730677-D6F846F4-EBFA-40A9-93CE-A15875ECE86F
Q25183148,Kevin Short,2018-07-01,,,Q25183148-8428349A-34D0-44AA-B5E1-BAC45F8712A4
